IMAGE_FILE,DESCRIPTION,TECHNIQUE,SHAPE,TYPE,SCHOOL,TIMEFRAME,description_plus,AUTHOR,TITLE,description_final,NewColor1,total_score,scoreAUTHOR,제목
20291-granite.jpg,"""The years between the defeat of Napoleon in 1815 and the revolutions of 1848, known as the Biedermeier era, were a time of relative peace, prosperity, and innovation in German-speaking Europe. The art of the period came to be characterized by what a critic of the day called """"rigorous simplicity."""" In painting, emphasis was given to the objective recording of natural phenomena, and artists sought to achieve an enamel-like finish that masked individual brushstrokes. Landscape and portraiture grew in importance while history painting declined.Berlin was expanding rapidly, growing to fulfil its role as a major European capital. Imposing new public buildings by Schinkel and his disciples were being constructed. Painters like Eduard G&#228;rtner and Johann Erdmann Hummel chose Berlin as their subject, carefully depicting the architectural and technological wonders, like the huge granite bowl that adorned the centre of the city""","['Oil', 'canvas']",['Vertical'],['Landscape'],['German'],"['Romanticism', 'Realism']",a painting of a fountain in a park,hummel johann erdmann,Granite Basin in the Lustgarten,바닥에 놓인 거대한 흉금석 용이있는 공원에 그려진 그림입니다.,"(143, 155, 186)",1.123,0,
37865-roveredo.jpg,"The present panel is a preparatory work for a larger painting, The Battle of Roveredo 1796, depicting the Napoleonic battle, when the French defeated the Austrians. It does not depict the battle itself, instead the focus is on capturing the magnificence of the landscape.The painting is signed and dated lower right: 'C. Stanfield RA 1851'","['Oil', 'panel']",['Vertical'],['Study'],['English'],"['Romanticism', 'Realism']",a painting of a mountain scene with a castle,stanfield clarkson,Roveredo,낭만주의풍경화에 걸맞는 산과 성곽이 보이는 그림입니다.,"(65, 32, 10)",1.123,0,
23822-2manet01.jpg,"""In the fertile years that followed his Déjeuner and Olympia, Manet experimented very widely. Sometimes he focused on giving form to colour and movement in works like the Bullfight, at others he was inspired by contemporary events, such as the Battle of the """"Kearsarge"""" and the """"Alabama"""" off Cherbourg""","['Oil', 'canvas']",['Vertical'],[],['French'],"['Realism', 'Impressionism', 'Post-Impressionism', 'Art', 'Nouveau']",a painting of a horse race with people watching,manet edouard,Bullfight,불투어를 그린 그림입니다.,"(110, 97, 94)",1.123,0,
19766-woodedla.jpg,This is an imaginary landscape based on real elements,"['Oil', 'canvas']",['Vertical'],['Landscape'],['Dutch'],['Baroque'],a painting of a wooded landscape with a man walking by,hobbema meyndert,Wooded Landscape,임의적인 숲 풍경을 배경으로 한 남자의 그림.,"(19, 14, 10)",1.123,0,
43216-santhony.jpg,"The composition and the modelling of the figures show the influence of French Classicism, however, the young angel and the putti follow the examples of Murillo","['Oil', 'canvas']",['Vertical'],['Religious'],['Spanish'],['Rococo'],a painting of angels and demons,viladomat y manalt antonio,The Death of St Anthony the Hermit,"""성 안토니의 죽음""은 프랑스คล래식주의의 영향과 함께 마길로(Baroque)의 느낌이 있는 그림입니다. 천사와 악마가 등장합니다.","(40, 25, 16)",0.0,0,
05672-winter.jpg,"The painting, comissioned by  Marquise de Pompadour for one of her residences, is part of a series of four representing the four seasons.","['Oil', 'canvas']",['Unknown'],['Genre'],['French'],['Rococo'],a painting of a man and woman on a sler,boucher françois,Winter,이 그림은 4개 시즌 중 하나를 표현하는 화려한 장르 화입니다. 남녀가 겨울 풍경을 배경으로 조용히 서 있는 모습이 담겨 있습니다.,"(162, 140, 130)",0.0,0,
22662-3lawren.jpg,"This painting was commissioned by Alessandro Alessandri (1391-1460), who is shown kneeling at the right, while his sons kneel at the left","['Tempera', 'wood']",['Horizontal'],['Religious'],['Italian'],['Renaissance'],the virgin and the virgin,lippi fra filippo,St Lawrence Enthroned with Saints and Donors,"이 그림은 성법자와 주변 인물들, 특히 아리스란드리 가문의 일원들이 묘사된 예술 작품입니다.","(163, 84, 58)",0.0,0,
22727-1annunci.jpg,The picture shows one of the scenes from the fresco cycle Life of the Virgin painted by Filippo Lippi in the apse of the Spoleto Cathedral,['Fresco'],['Unknown'],['Religious'],['Italian'],['Renaissance'],a painting of a woman kneeling in a room,lippi fra filippo,Annunciation,이 그림은 필리포 리피가 그린 성모 마리아의 생애를 다룬 벽화 cycle에서 나온 인공지혼 신정의 장면입니다.,"(192, 156, 118)",0.0,0,
00785-cortona2.jpg,"This Madonna with the Child and Angels is the central part of the altarpiece called Cortona Triptych. On the left panel St John the Evangelist and St John the Baptist, on the right panel St Mark and St Mary Magdalen are depicted. The ten predella pictures show episodes of the life of Saint Dominic and standing figures of saints. The altarpiece was damaged during the second World War and restored in 1946-50","['Tempera', 'gold', 'panel']",['Horizontal'],['Religious'],['Italian'],['Renaissance'],the virgin and child,angelico fra,Cortona Polyptych (central panel),"다음은 그림에 대한 객관적이고 간결한 설명입니다:

세례자 요한과 세례요한을 묘사한 왼쪽 패널과, 성막 기독교와 성마리아 마달레나를 묘사한 오른쪽 패널이 있는 Cortona 삼도면.","(178, 152, 117)",0.0,0,
44509-deathque.jpg,"Sophie Amalie (1628-1685) became Queen of Denmark in 1648. She was the daughter of Duke George of Brunswick-Lüneburg, and in 1643 she was married to Frederik III. She was the mother of Christian V. In spite of the dire financial situation of the Kingdom, she was the centre of a sumptuous court life, with exclusive luxury items and grand parties, which shed glory on the royal power.The present painting belongs to the group of around 100 pictures, studies, and sculptures that Zahrtmann created on the basis of Leonora Christine's (1621-1698) memoirs from 1869. Her life and destiny, spanning the range from wealth and power through imprisonment and shame to rehabilitation and release, fascinated Zahrtmann for almost 50 years. Sophie Amalie was behind Leonora Christine's arrest and 22 years of imprisonment in Blatarn. Zahrtmann hated her for that, and his sentiments are apparent with exceptional honesty in this depiction of her death throes.Surrounded by silverware and magnificent silks, the dowager queen Sophie Amalie breathes her last. A grotesque figure whose status and wealth cannot deliver her from a violent and painful death by asphyxiation","['Oil', 'canvas']",['Horizontal'],['Genre'],['Danish'],"['Realism', 'Impressionism', 'Post-Impressionism', 'Art', 'Nouveau']",a painting of a woman sitting in a chair,zahrtmann kristian,The Death of Queen Sophie Amalie,덴마크의 왕비인 소피아 아말리가 죽는 장면. 그림은 실무착상과 거만한 왕실생활이 그녀의 죽음에 영향을 미친다는 것을 표현하고 있습니다.,"(44, 37, 32)",0.0,0,
