Color name,RGB Code
Black,"(0, 0, 0)"
Charcoal,"(54, 69, 79)"
Dark Green,"(0, 100, 0)"
Dark Purple,"(48, 25, 52)"
Jet Black,"(52, 52, 52)"
Licorice,"(26, 17, 16)"
Matte Black,"(15, 15, 15)"
Midnight Blue,"(25, 25, 112)"
Onyx,"(53, 56, 57)"
Aqua,"(0, 255, 255)"
Azure,"(0, 127, 255)"
Baby Blue,"(137, 207, 240)"
Blue,"(0, 0, 255)"
Blue Gray,"(102, 153, 204)"
Blue Green,"(13, 152, 186)"
Bright Blue,"(0, 170, 255)"
Cadet Blue,"(95, 158, 160)"
Cobalt Blue,"(0, 71, 171)"
Cornflower Blue,"(100, 149, 237)"
Cyan,"(0, 255, 255)"
Dark Blue,"(0, 0, 139)"
Denim,"(21, 96, 189)"
Egyptian Blue,"(16, 52, 166)"
Electric Blue,"(125, 249, 255)"
Glaucous,"(96, 130, 182)"
Jade,"(0, 168, 107)"
Indigo,"(75, 0, 130)"
Iris,"(90, 79, 207)"
Light Blue,"(173, 216, 230)"
Midnight Blue,"(25, 25, 112)"
Navy Blue,"(0, 0, 128)"
Neon Blue,"(77, 77, 255)"
Pastel Blue,"(174, 198, 207)"
Periwinkle,"(204, 204, 255)"
Powder Blue,"(176, 224, 230)"
Robin Egg Blue,"(0, 204, 204)"
Royal Blue,"(65, 105, 225)"
Sapphire Blue,"(8, 37, 103)"
Seafoam Green,"(159, 226, 191)"
Sky Blue,"(135, 206, 235)"
Steel Blue,"(70, 130, 180)"
Teal,"(0, 128, 128)"
Turquoise,"(64, 224, 208)"
Ultramarine,"(18, 10, 143)"
Verdigris,"(67, 179, 174)"
Zaffre,"(0, 20, 168)"
Almond,"(239, 222, 205)"
Brass,"(181, 166, 66)"
Bronze,"(205, 127, 50)"
Brown,"(165, 42, 42)"
Buff,"(240, 220, 130)"
Burgundy,"(128, 0, 32)"
Burnt Sienna,"(233, 116, 81)"
Burnt Umber,"(138, 51, 36)"
Camel,"(193, 154, 107)"
Chestnut,"(149, 69, 53)"
Chocolate,"(210, 105, 30)"
Cinnamon,"(210, 105, 30)"
Coffee,"(111, 78, 55)"
Cognac,"(60, 20, 20)"
Copper,"(184, 115, 51)"
